algorithm,objective,dims,runs,success_ratio,success_pct,avg_clicks,avg_time_ms,avg_guesses,avg_completion,avg_time_per_click_ms,avg_completion_per_click,avg_guess_rate
exact_solver,MinDistance,4x4x4,30,0.1,10.0,15.233333333333333,73.66666666666667,2.9,72.44766666666666,4.034108376091062,5.268729740209823,0.2876381375201876
exact_solver,MinRotation,4x4x4,30,0.03333333333333333,3.3333333333333335,14.2,62.93333333333333,2.3333333333333335,70.46466666666667,3.564393229074893,5.810713666598132,0.28101627040506494
global_sat,MaxInformation,4x4x4,30,0.9333333333333333,93.33333333333333,26.633333333333333,421.96666666666664,1.1666666666666667,97.59466666666667,14.658503365606254,4.161971192104901,0.051733625738712825
global_sat,MinDistance,4x4x4,30,0.9333333333333333,93.33333333333333,26.066666666666666,317.8,1.1666666666666667,97.59466666666667,11.213432883671683,4.357419879331414,0.053994405600395944
global_sat,MinRotation,4x4x4,30,0.9333333333333333,93.33333333333333,24.7,242.83333333333334,1.1666666666666667,97.59466666666667,9.433305677427448,4.542756508589275,0.055607830680434664
greedy,MaxInformation,4x4x4,30,0.0,0.0,8.866666666666667,1.0666666666666667,8.866666666666667,68.60833333333333,0.11965459872782527,9.999185318781143,1.0
greedy,MinDistance,4x4x4,30,0.0,0.0,7.7,0.9,7.7,64.43066666666667,0.10723013914190385,11.591924101552044,1.0
greedy,MinRotation,4x4x4,30,0.0,0.0,8.066666666666666,0.6333333333333333,8.066666666666666,63.84,0.06084183790066143,11.10073612155818,1.0
partitioned_sat,MaxInformation,4x4x4,30,0.9333333333333333,93.33333333333333,27.066666666666666,397.4,1.1666666666666667,97.59466666666667,13.254709586225617,4.164775362801228,0.05164421714529897
partitioned_sat,MinDistance,4x4x4,30,0.9333333333333333,93.33333333333333,25.8,259.1333333333333,1.1666666666666667,97.59466666666667,9.282813171392853,4.344616497712204,0.05384500426283632
