algorithm,objective,dims,losses,avg_completion_on_loss,avg_clicks_on_loss,avg_guesses_on_loss,avg_guess_rate_on_loss,avg_time_ms_on_loss
greedy,MinRotation,7x7x7,30,39.91766666666667,9.166666666666666,9.166666666666666,1.0,12.433333333333334
partitioned_sat,MaxInformation,7x7x7,3,11.296666666666667,11.0,2.3333333333333335,0.30735930735930733,343.6666666666667
partitioned_sat,MinDistance,7x7x7,3,11.296666666666667,11.0,2.3333333333333335,0.30735930735930733,273.6666666666667
partitioned_sat,MinRotation,7x7x7,3,11.296666666666667,10.333333333333334,2.3333333333333335,0.3119047619047619,194.0
scip_solver,MaxInformation,7x7x7,3,14.6,19.666666666666668,4.333333333333333,0.469047619047619,6162.333333333333
scip_solver,MinDistance,7x7x7,4,23.3475,14.75,3.25,0.259010989010989,5857.0
scip_solver,MinRotation,7x7x7,3,9.506666666666666,7.0,2.0,0.32857142857142857,1209.6666666666667
exact_solver,MaxInformation,8x8x8,30,63.841,55.56666666666667,5.7,0.17034331896873964,3930.366666666667
exact_solver,MinDistance,8x8x8,30,56.13766666666667,47.9,4.1,0.17690277327525314,2619.1666666666665
exact_solver,MinRotation,8x8x8,30,50.974000000000004,43.266666666666666,2.466666666666667,0.15606485678903337,2088.9666666666667
global_sat,MaxInformation,8x8x8,2,51.745000000000005,74.5,2.5,0.38189655172413794,64638.0
global_sat,MinDistance,8x8x8,2,51.745000000000005,67.0,2.5,0.38269230769230766,26572.0
global_sat,MinRotation,8x8x8,2,51.745000000000005,75.5,2.5,0.3818027210884354,27471.0
greedy,MaxInformation,8x8x8,30,38.327666666666666,10.066666666666666,10.066666666666666,1.0,26.133333333333333
greedy,MinDistance,8x8x8,30,34.814,11.833333333333334,11.833333333333334,1.0,29.933333333333334
greedy,MinRotation,8x8x8,30,33.418,11.1,11.1,1.0,29.333333333333332
partitioned_sat,MaxInformation,8x8x8,2,51.745000000000005,74.0,2.5,0.3819444444444444,60634.5
partitioned_sat,MinDistance,8x8x8,2,51.745000000000005,72.5,2.5,0.3820921985815603,37730.5
partitioned_sat,MinRotation,8x8x8,2,51.745000000000005,78.0,2.5,0.3815789473684211,9298.5
scip_solver,MaxInformation,8x8x8,1,5.71,8.0,4.0,0.5,1344.0
scip_solver,MinDistance,8x8x8,2,53.330000000000005,70.5,2.5,0.1950187969924812,49068.0
scip_solver,MinRotation,8x8x8,2,53.175000000000004,75.0,2.0,0.14985014985014986,46762.5
