dims,seed,avg_success,avg_success_pct,avg_completion,avg_clicks,avg_time_ms
4x4x4,28,0.6,60.0,87.51066666666667,22.533333333333335,1162.2
4x4x4,7,0.6,60.0,87.84933333333333,21.266666666666666,998.1333333333333
4x4x4,18,0.6,60.0,88.01666666666667,18.666666666666668,849.9333333333333
4x4x4,13,0.6,60.0,88.18533333333333,29.0,1177.3333333333333
4x4x4,4,0.6,60.0,88.35466666666666,28.866666666666667,1550.6
4x4x4,1,0.6,60.0,89.36733333333333,26.8,1250.4
4x4x4,26,0.6,60.0,90.21133333333334,16.8,714.8
4x4x4,6,0.6,60.0,90.548,18.0,821.2666666666667
4x4x4,14,0.6,60.0,90.548,27.333333333333332,1276.4666666666667
4x4x4,17,0.6,60.0,92.49,18.266666666666666,882.9333333333333
4x4x4,5,0.6,60.0,93.24933333333334,17.4,866.2666666666667
4x4x4,25,0.6,60.0,93.41799999999999,22.066666666666666,957.8
4x4x4,0,0.6,60.0,94.00866666666667,25.733333333333334,1344.7333333333333
4x4x4,9,0.6,60.0,94.17733333333334,18.933333333333334,790.2666666666667
4x4x4,24,0.6,60.0,94.768,19.533333333333335,800.5333333333333
4x4x4,29,0.6,60.0,94.93666666666667,16.2,717.5333333333333
4x4x4,15,0.6666666666666666,66.66666666666666,81.35,25.066666666666666,1303.6666666666667
4x4x4,8,0.6666666666666666,66.66666666666666,87.76466666666667,21.733333333333334,1055.8
4x4x4,2,0.6666666666666666,66.66666666666666,91.05466666666666,17.133333333333333,904.8666666666667
4x4x4,20,0.6666666666666666,66.66666666666666,91.30799999999999,29.733333333333334,1444.3333333333333
4x4x4,22,0.6666666666666666,66.66666666666666,92.99600000000001,11.0,429.6
4x4x4,19,0.6666666666666666,66.66666666666666,96.03333333333333,17.333333333333332,743.5333333333333
4x4x4,3,0.7333333333333333,73.33333333333333,96.45533333333333,14.4,534.1333333333333
5x5x5,5,0.06666666666666667,6.666666666666667,27.697333333333333,5.866666666666666,891.2666666666667
5x5x5,4,0.06666666666666667,6.666666666666667,32.034666666666666,8.066666666666666,656.6
5x5x5,15,0.06666666666666667,6.666666666666667,73.714,30.933333333333334,3333.5333333333333
5x5x5,24,0.13333333333333333,13.333333333333334,24.931333333333335,10.066666666666666,2022.4
5x5x5,16,0.13333333333333333,13.333333333333334,27.86,14.133333333333333,2357.4
5x5x5,22,0.13333333333333333,13.333333333333334,38.970666666666666,18.6,2973.8
5x5x5,27,0.13333333333333333,13.333333333333334,46.45133333333333,9.533333333333333,696.3333333333334
5x5x5,21,0.13333333333333333,13.333333333333334,78.42666666666668,39.666666666666664,3652.8
5x5x5,18,0.5333333333333333,53.333333333333336,65.15,22.8,1615.0
5x5x5,23,0.5333333333333333,53.333333333333336,81.518,48.0,5417.066666666667
5x5x5,10,0.5333333333333333,53.333333333333336,88.94266666666667,29.933333333333334,2606.2
5x5x5,29,0.6,60.0,75.44733333333333,28.933333333333334,2402.0
5x5x5,17,0.6,60.0,79.83733333333333,31.133333333333333,3725.8
5x5x5,0,0.6,60.0,84.11933333333333,40.0,4038.866666666667
5x5x5,20,0.6,60.0,84.17333333333333,49.266666666666666,5833.533333333334
5x5x5,1,0.6,60.0,85.69,38.733333333333334,3703.6
5x5x5,3,0.6,60.0,85.74533333333333,32.4,3590.866666666667
5x5x5,19,0.6,60.0,85.74533333333333,39.53333333333333,3582.3333333333335
5x5x5,12,0.6,60.0,86.77533333333334,33.13333333333333,3100.0
5x5x5,26,0.6,60.0,86.93733333333333,40.13333333333333,3066.6666666666665
5x5x5,28,0.6,60.0,87.58866666666667,32.0,2848.4666666666667
5x5x5,9,0.6,60.0,88.02199999999999,31.866666666666667,3026.6
5x5x5,11,0.6,60.0,88.618,38.8,3819.0666666666666
5x5x5,25,0.6,60.0,88.78066666666668,29.933333333333334,2538.733333333333
5x5x5,7,0.6,60.0,89.05199999999999,39.53333333333333,3183.266666666667
5x5x5,14,0.6,60.0,89.214,36.8,3317.9333333333334
5x5x5,13,0.6,60.0,90.13533333333334,43.93333333333333,4110.133333333333
5x5x5,8,0.6,60.0,90.40533333333333,22.8,2146.0666666666666
5x5x5,2,0.6,60.0,92.73733333333332,31.066666666666666,2945.8
